Country,TIME,CCI
NLD,1995-02,100.961
NLD,1995-03,101.0348
NLD,1995-04,101.0013
NLD,1995-05,100.9997
NLD,1995-06,100.9755
NLD,1995-07,100.9857
NLD,1995-08,101.1075
NLD,1995-09,101.2109
NLD,1995-10,101.2712
NLD,1995-11,101.1786
NLD,1995-12,100.9239
NLD,1996-01,100.6913
NLD,1996-02,100.5051
NLD,1996-03,100.3611
NLD,1996-04,100.3838
NLD,1996-05,100.5361
NLD,1996-06,100.6837
NLD,1996-07,100.8331
NLD,1996-08,100.9846
NLD,1996-09,101.1564
NLD,1996-10,101.305
NLD,1996-11,101.2986
NLD,1996-12,101.2896
NLD,1997-01,101.4168
NLD,1997-02,101.5393
NLD,1997-03,101.6163
NLD,1997-04,101.6856
NLD,1997-05,101.6709
NLD,1997-06,101.6885
NLD,1997-07,101.7586
NLD,1997-08,101.8451
NLD,1997-09,101.9452
NLD,1997-10,101.9589
NLD,1997-11,101.9369
NLD,1997-12,101.9358
NLD,1998-01,101.9543
NLD,1998-02,101.9768
NLD,1998-03,102.0566
NLD,1998-04,102.062
NLD,1998-05,102.1171
NLD,1998-06,102.0904
NLD,1998-07,101.9878
NLD,1998-08,101.7046
NLD,1998-09,101.3306
NLD,1998-10,101.0717
NLD,1998-11,101.0446
NLD,1998-12,101.044
NLD,1999-01,100.9749
NLD,1999-02,100.8965
NLD,1999-03,100.874
NLD,1999-04,100.9708
NLD,1999-05,101.0968
NLD,1999-06,101.2445
NLD,1999-07,101.4211
NLD,1999-08,101.6745
NLD,1999-09,101.9597
NLD,1999-10,102.19
NLD,1999-11,102.226
NLD,1999-12,102.2539
NLD,2000-01,102.2859
NLD,2000-02,102.2769
NLD,2000-03,102.2811
NLD,2000-04,102.2584
NLD,2000-05,102.1997
NLD,2000-06,102.1507
NLD,2000-07,102.0669
NLD,2000-08,102.0516
NLD,2000-09,102.0918
NLD,2000-10,102.1607
NLD,2000-11,102.0904
NLD,2000-12,101.8795
NLD,2001-01,101.546
NLD,2001-02,101.1937
NLD,2001-03,100.9118
NLD,2001-04,100.7213
NLD,2001-05,100.5972
NLD,2001-06,100.4123
NLD,2001-07,100.3219
NLD,2001-08,100.2689
NLD,2001-09,100.262
NLD,2001-10,100.2841
NLD,2001-11,100.5016
NLD,2001-12,100.8808
NLD,2002-01,101.2306
NLD,2002-02,101.2576
NLD,2002-03,101.0848
NLD,2002-04,100.7613
NLD,2002-05,100.4351
NLD,2002-06,100.1125
NLD,2002-07,99.83892
NLD,2002-08,99.61697
NLD,2002-09,99.47698
NLD,2002-10,99.45304
NLD,2002-11,99.41906
NLD,2002-12,99.22848
NLD,2003-01,98.87852
NLD,2003-02,98.64285
NLD,2003-03,98.58215
NLD,2003-04,98.64957
NLD,2003-05,98.75134
NLD,2003-06,98.73731
NLD,2003-07,98.73331
NLD,2003-08,98.89472
NLD,2003-09,99.0631
NLD,2003-10,99.16919
NLD,2003-11,99.29617
NLD,2003-12,99.41427
NLD,2004-01,99.48544
NLD,2004-02,99.67808
NLD,2004-03,99.70246
NLD,2004-04,99.66019
NLD,2004-05,99.65791
NLD,2004-06,99.69051
NLD,2004-07,99.80248
NLD,2004-08,99.79484
NLD,2004-09,99.66314
NLD,2004-10,99.46041
NLD,2004-11,99.29855
NLD,2004-12,99.23267
NLD,2005-01,99.3506
NLD,2005-02,99.5349
NLD,2005-03,99.63425
NLD,2005-04,99.67005
NLD,2005-05,99.51991
NLD,2005-06,99.40285
NLD,2005-07,99.36375
NLD,2005-08,99.2601
NLD,2005-09,99.30768
NLD,2005-10,99.54742
NLD,2005-11,99.84119
NLD,2005-12,100.0808
NLD,2006-01,100.2559
NLD,2006-02,100.4172
NLD,2006-03,100.6025
NLD,2006-04,100.7477
NLD,2006-05,100.849
NLD,2006-06,100.9912
NLD,2006-07,101.0729
NLD,2006-08,101.1418
NLD,2006-09,101.226
NLD,2006-10,101.2656
NLD,2006-11,101.3175
NLD,2006-12,101.458
NLD,2007-01,101.5572
NLD,2007-02,101.573
NLD,2007-03,101.5673
NLD,2007-04,101.6181
NLD,2007-05,101.6513
NLD,2007-06,101.6795
NLD,2007-07,101.5807
NLD,2007-08,101.3162
NLD,2007-09,100.8987
NLD,2007-10,100.6862
NLD,2007-11,100.5549
NLD,2007-12,100.4005
NLD,2008-01,100.2125
NLD,2008-02,100.0398
NLD,2008-03,99.90428
NLD,2008-04,99.6689
NLD,2008-05,99.41975
NLD,2008-06,99.15131
NLD,2008-07,98.88536
NLD,2008-08,98.95392
NLD,2008-09,99.07839
NLD,2008-10,99.06811
NLD,2008-11,99.02866
NLD,2008-12,98.98148
NLD,2009-01,98.93224
NLD,2009-02,98.88898
NLD,2009-03,98.91153
NLD,2009-04,99.18353
NLD,2009-05,99.51239
NLD,2009-06,99.69408
NLD,2009-07,99.84996
NLD,2009-08,100.0715
NLD,2009-09,100.2353
NLD,2009-10,100.3462
NLD,2009-11,100.5761
NLD,2009-12,100.7764
NLD,2010-01,100.8418
NLD,2010-02,100.6838
NLD,2010-03,100.4109
NLD,2010-04,100.0817
NLD,2010-05,99.96345
NLD,2010-06,99.9779
NLD,2010-07,100.0516
NLD,2010-08,100.159
NLD,2010-09,100.1768
NLD,2010-10,100.1958
NLD,2010-11,100.1995
NLD,2010-12,100.204
NLD,2011-01,100.3849
NLD,2011-02,100.4936
NLD,2011-03,100.4581
NLD,2011-04,100.332
NLD,2011-05,100.1566
NLD,2011-06,99.95662
NLD,2011-07,99.66956
NLD,2011-08,99.11411
NLD,2011-09,98.49429
NLD,2011-10,98.05762
NLD,2011-11,97.93343
NLD,2011-12,97.84584
NLD,2012-01,97.88928
NLD,2012-02,98.02267
NLD,2012-03,98.08385
NLD,2012-04,98.14832
NLD,2012-05,98.06277
NLD,2012-06,98.10429
NLD,2012-07,98.4146
NLD,2012-08,98.59674
NLD,2012-09,98.606
NLD,2012-10,98.36513
NLD,2012-11,97.97222
NLD,2012-12,97.79681
NLD,2013-01,97.78736
NLD,2013-02,97.69008
NLD,2013-03,97.88329
NLD,2013-04,98.23011
NLD,2013-05,98.4062
NLD,2013-06,98.34901
NLD,2013-07,98.31318
NLD,2013-08,98.46465
NLD,2013-09,98.74277
NLD,2013-10,99.18651
NLD,2013-11,99.69969
NLD,2013-12,100.0849
NLD,2014-01,100.413
NLD,2014-02,100.6526
NLD,2014-03,100.7905
NLD,2014-04,100.7949
NLD,2014-05,100.7664
NLD,2014-06,100.7029
NLD,2014-07,100.5705
NLD,2014-08,100.3825
NLD,2014-09,100.273
NLD,2014-10,100.2659
NLD,2014-11,100.2392
NLD,2014-12,100.2504
NLD,2015-01,100.3612
NLD,2015-02,100.4956
NLD,2015-03,100.7055
NLD,2015-04,100.8335
NLD,2015-05,100.9403
NLD,2015-06,101.0168
NLD,2015-07,101.0514
NLD,2015-08,101.0694
NLD,2015-09,101.04
NLD,2015-10,101.0036
NLD,2015-11,100.9996
NLD,2015-12,100.9149
NLD,2016-01,100.7624
NLD,2016-02,100.5345
NLD,2016-03,100.428
NLD,2016-04,100.4786
NLD,2016-05,100.5657
NLD,2016-06,100.6518
NLD,2016-07,100.6371
NLD,2016-08,100.7081
NLD,2016-09,100.9463
NLD,2016-10,101.2143
NLD,2016-11,101.3518
NLD,2016-12,101.3995
NLD,2017-01,101.4616
NLD,2017-02,101.5277
NLD,2017-03,101.5848
NLD,2017-04,101.5653
NLD,2017-05,101.4638
NLD,2017-06,101.4866
NLD,2017-07,101.5743
NLD,2017-08,101.6111
NLD,2017-09,101.6113
NLD,2017-10,101.6542
NLD,2017-11,101.6227
NLD,2017-12,101.5955
NLD,2018-01,101.5594
NLD,2018-02,101.4946
NLD,2018-03,101.498
NLD,2018-04,101.4714
NLD,2018-05,101.4074
NLD,2018-06,101.4164
NLD,2018-07,101.4141
NLD,2018-08,101.3007
NLD,2018-09,101.1512
NLD,2018-10,100.9381
NLD,2018-11,100.6666
NLD,2018-12,100.327
NLD,2019-01,100.0214
NLD,2019-02,99.88404
NLD,2019-03,99.85091
NLD,2019-04,99.89866
NLD,2019-05,99.96188
NLD,2019-06,100.0735
NLD,2019-07,100.1135
NLD,2019-08,100.0735
NLD,2019-09,100.0744
NLD,2019-10,100.1465
NLD,2019-11,100.1558
NLD,2019-12,100.108
NLD,2020-01,100.0094
NLD,2020-02,99.78442
NLD,2020-03,99.18556
NLD,2020-04,98.3952
NLD,2020-05,98.23341
NLD,2020-06,98.51705
NLD,2020-07,98.81485
NLD,2020-08,98.97427
NLD,2020-09,99.08424
NLD,2020-10,99.22885
NLD,2020-11,99.56554
NLD,2020-12,99.90556
NLD,2021-01,100.1008
NLD,2021-02,100.2683
NLD,2021-03,100.5806
NLD,2021-04,100.9388
NLD,2021-05,101.2682
NLD,2021-06,101.4499
NLD,2021-07,101.2513
NLD,2021-08,100.9556
NLD,2021-09,100.619
NLD,2021-10,100.0917
NLD,2021-11,99.58623
NLD,2021-12,99.32167
NLD,2022-01,99.05951
NLD,2022-02,98.57086
NLD,2022-03,97.94202
NLD,2022-04,97.51314
NLD,2022-05,97.34929
NLD,2022-06,97.13383
NLD,2022-07,96.92565
NLD,2022-08,96.60758
NLD,2022-09,96.31161
NLD,2022-10,96.40419
NLD,2022-11,96.78346
NLD,2022-12,97.27886
NLD,2023-01,97.7349
NLD,2023-02,98.16708
NLD,2023-03,98.40712
NLD,2023-04,98.43786
NLD,2023-05,98.34135
NLD,2023-06,98.31155
NLD,2023-07,98.36002
NLD,2023-08,98.44709
NLD,2023-09,98.47677
NLD,2023-10,98.48468
POL,2001-05,97.58514
POL,2001-06,97.58908
POL,2001-07,97.37723
POL,2001-08,97.07831
POL,2001-09,97.10576
POL,2001-10,97.57886
POL,2001-11,97.77274
POL,2001-12,97.60992
POL,2002-01,97.55
POL,2002-02,97.51935
POL,2002-03,97.49361
POL,2002-04,97.50742
POL,2002-05,97.61736
POL,2002-06,97.67929
POL,2002-07,97.92803
POL,2002-08,98.16302
POL,2002-09,98.35648
POL,2002-10,98.2931
POL,2002-11,98.00343
POL,2002-12,97.82739
POL,2003-01,97.82608
POL,2003-02,97.83244
POL,2003-03,97.82876
POL,2003-04,97.98208
POL,2003-05,98.31354
POL,2003-06,98.52411
POL,2003-07,98.52003
POL,2003-08,98.3277
POL,2003-09,98.07673
POL,2003-10,97.71171
POL,2003-11,97.51482
POL,2003-12,97.63484
POL,2004-01,97.6571
POL,2004-02,97.54928
POL,2004-03,97.6601
POL,2004-04,98.07474
POL,2004-05,98.69209
POL,2004-06,99.10274
POL,2004-07,99.26743
POL,2004-08,99.50345
POL,2004-09,99.6303
POL,2004-10,99.65324
POL,2004-11,99.63641
POL,2004-12,99.67997
POL,2005-01,99.72786
POL,2005-02,99.69148
POL,2005-03,99.67347
POL,2005-04,99.7115
POL,2005-05,99.75449
POL,2005-06,99.66636
POL,2005-07,99.70557
POL,2005-08,99.83993
POL,2005-09,100.0209
POL,2005-10,100.1954
POL,2005-11,100.376
POL,2005-12,100.5915
POL,2006-01,100.8527
POL,2006-02,100.8951
POL,2006-03,100.7119
POL,2006-04,100.4909
POL,2006-05,100.4838
POL,2006-06,100.6632
POL,2006-07,100.834
POL,2006-08,100.8514
POL,2006-09,100.8468
POL,2006-10,100.9182
POL,2006-11,101.0928
POL,2006-12,101.2764
POL,2007-01,101.2673
POL,2007-02,101.3246
POL,2007-03,101.2787
POL,2007-04,101.4565
POL,2007-05,101.6611
POL,2007-06,101.7469
POL,2007-07,101.8116
POL,2007-08,101.818
POL,2007-09,101.9683
POL,2007-10,102.196
POL,2007-11,102.4124
POL,2007-12,102.4469
POL,2008-01,102.2684
POL,2008-02,102.119
POL,2008-03,102.0859
POL,2008-04,102.2719
POL,2008-05,102.3264
POL,2008-06,102.1589
POL,2008-07,101.9676
POL,2008-08,102.0723
POL,2008-09,102.1031
POL,2008-10,101.815
POL,2008-11,101.3285
POL,2008-12,100.8541
POL,2009-01,99.98672
POL,2009-02,98.97482
POL,2009-03,98.50082
POL,2009-04,98.74936
POL,2009-05,99.25429
POL,2009-06,99.59061
POL,2009-07,99.72646
POL,2009-08,99.93759
POL,2009-09,99.91908
POL,2009-10,99.87003
POL,2009-11,99.82237
POL,2009-12,99.94071
POL,2010-01,100.0893
POL,2010-02,100.2362
POL,2010-03,100.3882
